id,no_farmacia,ds_endereco_farmacia,no_cidade,uf
22,DROGARIA MAIS ECONOMICA LTDA,"JULIO DE CASTILHOS, 2306",CAXIAS DO SUL,RS
23,FARMACIA E DROGARIA NISSEI LTDA,AVENIDA BATEL 1566,CURITIBA,PR
24,AIDE CONTER JOHNSON & CIA LTDA - EPP,"AV. WENCESLAU ESCOBAR, 2908",PORTO ALEGRE,RS
25,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"RUA INDEPENDÊNCIA, Nº 500",PORTO ALEGRE,RS
26,TADEU IMOTO & CIA. LTDA.,AVENIDA ABELIO BENATI,LONDRINA,PR
27,FARMACIA CONCORDIA LTDA,"DR. MARURI, Nº 1329 SALA 01",CONCORDIA,SC
28,DROGARIA TRIERWEILER LTDA - EPP,R CONDE D EU 1228,CAXIAS DO SUL,RS
29,FARMACIA E PERFUMARIA LIDER LTDA - EPP,R MAJOR VICENTE DE CASTRO 1050,CURITIBA,PR
30,FARMACIA SCATOLIN LTDA - ME,r REINALDO MASSI 909,ROLANDIA,PR
31,PANICHI & MUSIAL LTDA - EPP,"EXPEDICIONARIOS, Nº 483",WENCESLAU BRAZ,PR
32,FARMACIA E DROGARIA SOMENSI LTDA,"R PADRE BIAGIO SIMONETTI, Nº 382",FRAIBURGO,SC
33,DROGARIA E FARMACIA CATARINENSE S/A,"AVENIDA 7 DE SETEMBRO, Nº 1213   LOJA 57",BLUMENAU,SC
34,FARMACIA SAGRADO CORACAO LTDA ME,"RUA MARECHAL DEODORO, 373",CAMPOS NOVOS,SC
35,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA CIRURGIAO VAZ FERREIRA, 71",VIAMAO,RS
36,"LAZZARI, PINTO & CIA LTDA","DALTRO FILHO, 541",ARVOREZINHA,RS
37,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA SETE DE SETEMBRO Nº1121,BAGE,RS
38,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA Quatorze de Julho, 2169",CAMPO GRANDE,MS
39,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AVENIDA ASSIS BRASIL Nº 1983,PORTO ALEGRE,RS
40,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"LEDIO JOAO MARTINS, 250, LOJAS 02 E 03",SAO JOSE,SC
41,DROGARIA E FARMACIA CATARINENSE S/A,RUA CONSELHEIRO MAFRA  Nº108,FLORIANOPOLIS,SC
42,DROGARIA PIRES MOREIRA LTDA,JOSE BELIZARIO G VIANA,SANTA MARIA DE ITABIRA,MG
43,CARLOS ALBERTO DE AZEVEDO CAMPOS E CIA LTDA,RUA  JOÃO ANGELO CORDEIRO N° 770,SAO JOSE DOS PINHAIS,PR
44,DROGARIA MAIS ECONOMICA S.A.,"RUA THOMAZ GONZAGA, 610",VERA CRUZ,RS
45,FARMACIA NOSSA SENHORA APARECIDA DE TURVO LTDA,"AVENIDA 12 DE MAIO, 547",TURVO,PR
46,RAUL PEDRO ALBANAES ME,RUA JOSÉ MATIAS ZIMMERMANN,SAO JOSE,SC
47,FARMACIA SERENA LTDA,"RUA DR. JAVERT MADUREIRA, 1760",CASTRO,PR
48,DROGARIA NOSSA SENHORA APARECIDA DE LUZ LTDA - ME,PRAÇA ROTARY 774 C,LUZ,MG
49,JOSE AUGUSTO DE LOLLO ME,"AV. BRASIL NORTE, 680, LOJA 9",ILHA SOLTEIRA,SP
50,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA GOMES JARDIM Nº253,PORTO ALEGRE,RS
51,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA PINHEIRO MACHADO, 40 - LOJA 01",SAO FRANCISCO DE PAULA,RS
52,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV. DUQUE DE CAXIAS Nº 1625,URUGUAIANA,RS
53,FARMACIA MERCURIO LTDA,"AVENIDA CASTELO BRANCO, Nº 668",TERRA ROXA,PR
54,DROGARIA GUAJUVIRA LTDA,"XV DE JANEIRO, Nº 168 LOJA 101 - B",CANOAS,RS
55,FARMACIA SERRA ALTA LTDA ME,AV D PEDRO II 142 SALA,SERRA ALTA,SC
56,FARMACIA BRASIL LTDA,"BRASIL, 1098, TERREO",SAO LOURENCO DO OESTE,SC
57,DISTRIBUIDORA BIG BENN S.A,"RUA SIMPLICIO MOREIRA, 1655",IMPERATRIZ,MA
58,DISTRIBUIDORA BIG BENN LTDA,"ROD. AUGUSTO MONTENEGRO, 39",BELEM,PA
59,DROGARIA E FARMACIA CATARINENSE S/A,RUA ANTONIO KASEMODEL Nº2909 LOJA 02,SAO BENTO DO SUL,SC
60,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV GETULIO VARGAS 166 N,PASSO FUNDO,RS
61,GERALDO JACQUES TEIXEIRA EPP,"RUA NEREU RAMOS, 119",IMARUI,SC
62,JOSÉ MAZZUTTI & CIA LTDA,AVENIDA FLORES DA CUNHA Nº 4660,CARAZINHO,RS
63,FARMACIA FLARING LTDA,"TELEMACO CARNEIRO, 707, TERREO",ARAPOTI,PR
64,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"AVENIDA SERTÓRIO, 1700",PORTO ALEGRE,RS
65,FARMACIA RUBERT LTDA EPP,"DR MARURI, 90",CONCORDIA,SC
66,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"rua ARTUR VERGUEIRO, 113",ESPIRITO SANTO DO PINHAL,SP
67,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA PEREIRA REGO, 1409",CANDELARIA,RS
68,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA DOS ANDRADAS Nº 1401,PORTO ALEGRE,RS
69,LUIZA PANAZZOLO RIBEIRO & CIA. LTDA-EPP,R SOUZA NAVES ESQ C\AV PARANA 1501 esquina,PARANAVAI,PR
70,FARMACIA SORDI LTDA,"RUA TOCANTINS, TERREO, 2354",PATO BRANCO,PR
71,FABIO DE OLIVEIRA MACHADO E CIA LTDA ME,"R. MANOEL PEREIRA, 78, SALA 1",ARMAZEM,SC
72,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AV SATURNINO DE BRITO, 175, ESQ. RUA GIRUA LOJA 01",CRUZ ALTA,RS
73,DISTRIBUIDORA BIG BENN S.A,"R. DESEMBARGADOR GOES CAVALCANTE, Nº 128",RECIFE,PE
74,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"RUA ORESTES GUIMARAES, 720 - LOJA 16",JOINVILLE,SC
75,FERNANDEZ & CIA LTDA.,"RUA DO COMERCIO, 172",IJUI,RS
76,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AVENIDA PRESIDENTE FRANKLIN ROOSEVELT Nº 1308,PORTO ALEGRE,RS
77,COMERCIO DE MEDICAMENTOS BRAIR LTDA,R PE FEIJÓ 500,SAO MARCOS,RS
78,DISTRIBUIDORA BIG BENN S.A,"RUA LEOPOLDO MACHADO, 2664",MACAPA,AP
79,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA SINIMBU, 1589",CAXIAS DO SUL,RS
80,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV JOAO CORREA 966 LOJA 01,SAPIRANGA,RS
81,DROGARIA MAIS ECONOMICA S.A.,rua GENERAL SAMPAIO 920,ALEGRETE,RS
82,CARLOS J PEREIRA & CIA LTDA,"RUA ANDRADE NEVES, Nº 294",RIO PARDO,RS
83,DISTRIBUIDORA BIG BENN LTDA,"AV GENTIL BITTENCOURT, 000171",BELEM,PA
84,COMERCIO DE MEDICAMENTOS BRAIR LTDA,RUA JULIO DE CASTILHOS 2599,TAQUARA,RS
85,JOSE PANATO GARCIA PIRES - ME,"RUA TIRADENTES, SN",DOM FELICIANO,RS
86,FARMACIA E DROGARIA NISSEI LTDA,"RUA HARPIA, 198",LONDRINA,PR
87,"SIND TRAB IND DE FIACAO, TECELAGEM, VEST, MALHARIA, ART DE COURO, CALC, ACABAMEN","RUA WILHELM BUTZKE SENIOR, SALA 01",TIMBO,SC
88,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA DARWIN ANTONIO MAROSIN, 100 - TERREO LOJA 01",MARAU,RS
89,DISTRIBUIDORA BIG BENN LTDA,"AVENIDA COLARES MOREIRA, 17 - QUADRA 50",SAO LUIS,MA
90,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"AV. JULIO DE CASTILHOS, 745",LAJEADO,RS
91,JACIR THADEU FERREIRA DELLÊ,RUA XV DE DEZEMBRO Nº239,PINHAO,PR
92,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA FELIPE SCHMIDT, 278",SAO BENTO DO SUL,SC
93,GLAPINSKI & GLAPINSKI LTDA,"AV DOM PEDRO II, 501",PONTA GROSSA,PR
94,FARMACIA DO IPAM LTDA,"RUA PINHEIRO MACHADO, 2281",CAXIAS DO SUL,RS
95,DROGARIA JUMAUTI LTDA - ME,"R CONSELHEIRO DANTAS, 947",CAXIAS DO SUL,RS
96,JOSÉ CARLOS LOVATTO ME,"AVENIDA 07 DE SETEMBRO, Nº 1269",TAPEJARA,RS
97,MARIO HAMILTON VILELA FILHO,"AVENIDA PRESIDENTE VARGAS, 3825",URUGUAIANA,RS
98,CIA LATINO AMERICANA DE MEDICAMENTOS,"AV. ANTONIO SANT'HELENA, 81, SALA 01",SOMBRIO,SC
99,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA BRASIL, 1179",FOZ DO IGUACU,PR
100,FARMACIA E MANIPULACAO PHARMACOLOGICA LTDA - ME,"R dos Imigrantes, 515",JACAREI,SP
101,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA MARECHAL FLORIANO PEIXOTO, 5810",CURITIBA,PR
102,REMI STEIGLEDER E CIA LTDA,AV BRASIL 2401,CAMPO BOM,RS
103,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA ALBERTO BINS 581,PORTO ALEGRE,RS
104,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA BRASIL, 1300 - LOJA 03",BALNEARIO CAMBORIU,SC
105,BESSEGATO & BESSEGATO LTDA,"RUA DR. MILTON EULARES MICHELIN, 48",PAIM FILHO,RS
106,DROGARIA E FARMÁCIA CATARINENSE,RUA REINALDO SCHMITHAUSEN,ITAJAI,SC
107,J ANDRADE & TREVISAN LTDA - ME,"RUA MARIO GOBO, Nº 415",LONDRINA,PR
108,FARMACIA E DROGARIA NISSEI LTDA,"PRESIDENTE KENNEDY, 4121, LOJA 01",CURITIBA,PR
109,DROGARIA MAIS ECONOMICA LTDA,"CARLOS BIHEL, 45",SAPIRANGA,RS
110,FARMACIA E DROGARIA NISSEI LTDA,"AV PRESIDENTE AFFONSO CAMARGO, 3035",CURITIBA,PR
111,ALESSANDER LOPES MOREIRA - ME,"PADRE LUCAS LEAL, 02, B",LAMIM,MG
112,OTILIO JOSE SCHEIBLER,"RUA RIO BRANCO, 238, SALA",CHAPADA,RS
113,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"Rua RAMIRO BARCELOS 1459 LOJA 01, 02, 03 TERREO",MONTENEGRO,RS
114,FARMACIA SAGRADO CORACAO LTDA ME,"RUA JOSE BOITEUX, 123",CACADOR,SC
115,MAIA & PELOSO LTDA,"PRAÇA SANTA CRUZ, Nº 194",BOA ESPERANCA,MG
116,SAINT PIERRE EIRELI - EPP,"RUA PIRATINI, 427",BUTIA,RS
117,DISTRIBUIDORA BIG BENN LTDA,"RUA STO ANTONIO, 104",BELEM,PA
118,LATSCH & BOCHI LTDA,RUA DOS ANDRADAS 439,ALEGRETE,RS
119,COMERCIO DE MEDICAMENTOS TAPERA LTDA,"AVENIDA 15 DE NOVEMBRO, 1012 - sala 02",TAPERA,RS
120,DROGARIA LUCCA LTDA - ME,"AVENIDA BORGES DE MEDEIROS, Nº 933",MUCUM,RS
121,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,RUA GOVERNADOR PEDRO DE TOLEDO 1323,PIRACICABA,SP
122,JOSE MAZZUTTI & CIA LTDA,"AVENIDA PATRIA, 785",CARAZINHO,RS
123,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,PRAÇA PRESIDENTE GETÚLIO VARGAS 360,ALEGRETE,RS
124,FARMACIA E DROGARIA NISSEI LTDA,"R IZABEL A REDENTORA, 2320",SAO JOSE DOS PINHAIS,PR
125,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA RAMIRO BARCELOS, 465",SAO JERONIMO,RS
126,FARMACIA MERGUIZO E MORESCHI LTDA - EPP,"RUA SANTOS DUMONT, 268",MAIRINQUE,SP
127,DROGARIA MAIS ECONOMICA S.A.,AVENIDA ELY CORREA 891 - LOJA 104,GRAVATAI,RS
128,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,R XV DE NOVEMBRO 310 CONJ 001 TERREO,CURITIBA,PR
129,CLAUDIO BENTO GONCALVES - EPP,RUA BENJAMIN CONSTANT SN,CAMPO ALEGRE,SC
130,FARMACIA TRES MENINAS LTDA ME,"RUA ENGENHEIRO ANNES GUALBERTO, N] 782 SALA 01",GRAVATAL,SC
131,DISTRIBUIDORA BIG BENN LTDA,"ALMIRANTE BARROSO, Nº 4610",BELEM,PA
132,DROGARIA MAIS ECONOMICA LTDA,"AV PRESIDENTE VARGAS, 2012",ESTEIO,RS
133,CLARICE BARBOSA DIONISIO & CIA LTDA,BRASIL 611-A,TRES BARRAS DO PARANA,PR
134,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA VENÂNCIO AIRES N° 821,CRUZ ALTA,RS
135,LERMEN & LERMEN LTDA,"Rua DUQUE DE CAXIAS, 85, SALA 01",GUARACIABA,SC
136,FARMACIA DROGACURA LTDA,"GUARANIS, 753",LONDRINA,PR
137,FARMACIA ROBERFARMA LTDA,"AV SOUZA NAVES, 131",IBIPORA,PR
138,DISTRIBUIDORA BIG BENN LTDA,"TRAV WE 64, 302, CIDADE NOVA VI",BELEM,PA
139,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV. JULIO BOELLA 947,MARAU,RS
140,MARIA ELENA MARTINS PIRES & CIA LTDA.,RUA ANTÔNIO MANOEL Nº 562,SANTO ANGELO,RS
141,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"AV GOETH, 31",PORTO ALEGRE,RS
142,FARMACIA SAO PEDRO LTDA - ME,"RUA SAO JOSE, 351 - SALA 1",GASPAR,SC
143,DROGARIA FARMAPRECO LTDA,"RUA TIBURCIO DE AZEVEDO, 573",ALVORADA,RS
144,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA TUPI, 2.479",PATO BRANCO,PR
145,DROGARIA DA VARZEA LTDA,"AVENIDA ENG. FEL. LIMIESEK, Nº 125",PORTO ALEGRE,RS
146,FARMACIA ECONOMIA LTDA ME,"RUA JOSE BONIFACIO, 242",IJUI,RS
147,FARMACIA E DROGARIA NISSEI LTDA,"RUA VISCONDE DE MAUA, 1445",PONTA GROSSA,PR
148,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA SETE DE SETEMBRO, 1098",BAGE,RS
149,DISTRIBUIDORA BIG BENN LTDA,"GETULIO VARGAS , 343, MARABA PIONEIRA",MARABA,PA
150,DROGARIA E FARMACIA SUMAIA LTDA - EPP,"RUA OTTO JULIO MALINA, 505",SAO JOSE,SC
151,A. A. SCHULTZ,"RUA JOAO VOLTARELLI, 46",CALIFORNIA,PR
152,DROGARIA MAIS ECONOMICA LTDA,RUA VOLUNTARIOS DA PATRIA,PORTO ALEGRE,RS
153,DROGARIA MAIS ECONOMICA S.A.,RUA DO COMERCIO 344 SALA 10,IJUI,RS
154,"GIOMO, SPLENDORE & CIA LTDA - EPP","RUA ALICE MOREIRA, 30",PEDREIRA,SP
155,DROGARIA MAIS ECONOMICA LTDA,"TIRADENTES, 215",CANOAS,RS
156,FARMÁCIA E DROGARIA AGUAS CLARAS LTDA.,RUA AUGUSTO KLAPOTH        Nº 44,BRUSQUE,SC
157,DROGARIA SAO VICTOR LTDA ME,"DOS IMIGRANTES, Nº 2038",CRICIUMA,SC
158,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA BRASIL, 793 - LOJA 01 ESQ. ANTUNES RIBAS",SANTO ANGELO,RS
159,SAO LUCAS COMERCIO DE MEDICAMENTOS LTDA,"RUA INDEPENDENCIA, 567 - 12",FARROUPILHA,RS
160,DROGARIA JACUTINGA LTDA - ME,"AVENIDA ANGELO GASPARETTO, 460 - SALA 02",JACUTINGA,RS
161,FARMACIA E DROGARIA NISSEI S.A.,"AVENIDA COMENDADOR JOSE DA SILVA MARTHA, 2-08",BAURU,SP
162,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AVENIDA BRASIL LESTE Nº200 LOJAS 42/44,PASSO FUNDO,RS
163,FARMACIA E DROGARIA NISSEI LTDA,RUA MARIO LOBO 106,JOINVILLE,SC
164,COMERCIO DE PRODUTOS FARMACEUTICOS D S LTDA,"R DR. LIBERATO SALZANO, 22",NAO-ME-TOQUE,RS
165,PAULO CESAR MENEGHETTI & CIA LTDA,"RUA D PEDRO II, 911 (frente a praça matriz)",PLANALTO,RS
166,DROGARIA CENTER LTDA,"AV. SO SEBASTIAO, 373, A",BOA VISTA,RR
167,BERGONCI & COUTO LTDA,AV ARAPONGAS Nº519,ARAPONGAS,PR
168,JOSÉ MAZZUTTI & CIA LTDA,AV PÁTRIA 801,CARAZINHO,RS
169,DROGARIA LAJEADENSE LTDA,RUA JULIO DE CASTILHOS Nº 1213,LAJEADO,RS
170,DROGARIA MAIS ECONOMICA S.A.,"AVENIDA GETULIO VARGAS, 2780",ALVORADA,RS
171,FARMÁCIA COELHO LTDA,RUA  JOSÉ MARIA DA LUZ  Nº2754,PALHOCA,SC
172,JAMIR MONTEIRO & CIA LTDA,"RUA SAO JOSE DOS PINHAIS, 1460",CURITIBA,PR
173,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA SAUL BRANDALISE, 120 - LOJA 01A",VIDEIRA,SC
174,MARLUCIA CARDOSO PEREIRA - EPP,"R DERALDO A DE OLIVEIRA, 40 - CASA",MURITIBA,BA
175,DISTRIBUIDORA BIG BENN S.A,"COMERCIAL AV GETULIO VARGAS, 1774",IMPERATRIZ,MA
176,DISTRIBUIDORA BIG BENN S.A,"TV ICATU, S/N - QUADRA117 LOTE 11",BELEM,PA
177,FARMACIA SEBASTIANY LTDA.,"AV JOAO ANTONIO, 715",SOBRADINHO,RS
178,ROMILDO TOLOTTI,"CHARRUA, Nº 35",TENENTE PORTELA,RS
179,INSTITUTO HOSPITALAR E BENEFICENTE NOSSA SENHORA MERCES,"RUA RIO DE JANEIRO, 115W - SALA 02",IPORA DO OESTE,SC
180,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV 25 DE JULHO 1470,FLORES DA CUNHA,RS
181,GLAPINSKI E GLAPINSKI E CIA LTDA,AVENIDA VISCONDE DE MAUA Nº1331,PONTA GROSSA,PR
182,I. CARLOS PEREIRA & CIA LTDA ME,"AV MARECHAL RONDON, 3202",COLORADO DO OESTE,RO
183,BENETTI E BENETTI LTDA,"JOAO PESSOA, 1001, sala",GUARUJA DO SUL,SC
184,DISTRIBUIDORA BIG BENN S.A,"COMERCIAL BARAO DE IGARAPE MIRI, 304",BELEM,PA
185,DISTRIBUIDORA BIG BENN LTDA,"AV GENTIL BITTENCOURT, 1584",BELEM,PA
186,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV. PRESIDENTE GETÚLIO VARGAS 5765 LOJA 25,CANOAS,RS
187,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AVENIDA DUQUE DE CAXIAS 572 LOJA 01,PELOTAS,RS
188,CIA LATINO AMERICANA DE MEDICAMENTOS,"AV. PARANA, 450, SALA A",GARUVA,SC
189,DROGARIA MAIS ECONOMICA S.A.,AVENIDA JULIO DE CASTILHOS 2.060 E 2.078,CAXIAS DO SUL,RS
190,M F KNEVITZ - EPP,R MAL. FLORIANO 297,SANTO ANTONIO DA PATRULHA,RS
191,CIANORTE FARMACIA LTDA - EPP,"AVENIDA TUPASSI, 1090 (TERREO)",ASSIS CHATEAUBRIAND,PR
192,DROGARIA MAIS ECONOMICA LTDA,"RAMIRO BARCELOS, 1673, SALA 01",MONTENEGRO,RS
193,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA ANDRADE NEVES Nº1881,PELOTAS,RS
194,FARMACIA E DROGARIA NISSEI LTDA,"RUA ANA BERTA ROSKAMP, 10",CURITIBA,PR
195,FARMACY EXTRA LTDA - ME,"Avenida DR. PAULO BORGES DE OLIVEIRA, 580 - ANEXO 3",ITUVERAVA,SP
196,FARMACIA RAMIPAR LTDA - EPP,"RUA EUNICE BETTINI BARTOSZECK, 1278",CURITIBA,PR
197,FARMACIA E DROGARIA NISSEI LTDA,"MUNHOZ DA ROCHA, 744",CURITIBA,PR
198,DROGARIA CAVAZZOLA LTDA - ME,"PRAÇA PADRE BASSO, 173",MARCELINO RAMOS,RS
199,SILVA & PAIXAO LTDA - ME,"AV BRASIL, 1080, TERREO",LOANDA,PR
200,SANDRA POST KARSBURG - ME,AV GETULIO VARGAS 139 SALA,CANDELARIA,RS
201,CVS ROSA,RUA XV DE NOVEMBRO  Nº 342,CACAPAVA DO SUL,RS
202,HELIANA CARDOSO DE MACEDO CARVALHO,"AVENIDA ALMERINDO REHEN, 393",EUCLIDES DA CUNHA,BA
203,ZIGLIOLI ZIGLIOLI E CIA LTDA - ME,"AVENIDA BRASILIA, 1592",MEDIANEIRA,PR
204,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AVENIDA AVENIDA 2490 LOJA 01,PELOTAS,RS
205,DROGARIA RUOCCO LTDA - ME,"AVENIDA DR SIMEAO DE FARIA, 1400 - LOJA",JUIZ DE FORA,MG
206,DISTRIBUIDORA BIG BENN S.A,comercial JOSINO FERREIRA 168,PICOS,PI
207,DROGARIA NARDELLI LTDA - EPP,"RUA CEL FEDDERSEN, 2263 - SALA 01",TAIO,SC
208,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA ANDRE DE BARROS, 155 - Loja 03",CURITIBA,PR
209,E. B. COMERCIO DE MEDICAMENTOS LTDA,"AVENIDA TUPÃSSI, 2111",ASSIS CHATEAUBRIAND,PR
210,DROGARIA MAIS ECONOMICA S.A.,rua MARECHAL DEODORO 71,LAGES,SC
211,FARMACIA MELISSA LTDA,"AVENIDA GETULIO VARGAS, 296",PIRAQUARA,PR
212,FARMACIA VILAFARMA DE MANDAGUARI LTDA ME,AV AMAZONAS 2212,MANDAGUARI,PR
213,COMERCIO DE MEDICAMENTOS BRAIR LTDA,Rua PINHEIRO MACHADO 365,FARROUPILHA,RS
214,CIA LATINO AMERICANA DE MEDICAMENTOS,"Rua 28 de Agosto, 1680 - Sala 01",GUARAMIRIM,SC
215,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA JULIO DE CASTILHOS Nº870 LOJA 01,SANTA CRUZ DO SUL,RS
216,FARMACIA VIVAMED LTDA,"RUA BENTO GONCALVES, Nº 750",CHARQUEADAS,RS
217,L.C. BOMFIM & CIA LTDA,"R. XV DE NOVEMBRO, Nº 242",MORRETES,PR
218,FARMACIA NOSSA SENHORA APARECIDA DE JACAREZINHO LTDA. - ME,"RUA PARANA, 641",JACAREZINHO,PR
219,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"ROD BR 101, S/N - KM 211 LOJA 84,106,107",SAO JOSE,SC
220,A M CECCONELLO - ME,AVENIDA GENERAL OSORIO 895,MAQUINE,RS
221,DROGARIA MAIS ECONOMICA LTDA,"RUA DOS ANDRADAS, 237",ALEGRETE,RS
222,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"AVENIDA BRASIL, 1606",ITAPIRA,SP
223,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA CORONEL CHICUTA, 355 - SALA 03",PASSO FUNDO,RS
224,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA BRASIL, 938",FOZ DO IGUACU,PR
225,CECILIA ISOLINA MULLER ME,"SETE DE SETEMBRO, Nº 200 LOJA 12",ITAJAI,SC
226,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA BRASIL, 357 - LOJA 01",CACHOEIRA DO SUL,RS
227,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV PRIMEIRO DE MARÇO 821 S 215,SAO LEOPOLDO,RS
228,CLEBER DE SOUZA RODRIGUES EPP,AV CARLOS ZACARIAS,LIMEIRA,SP
229,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA JULIO DE CASTILHOS, 510 - LOJA 01 A",LAJEADO,RS
230,FARMACIA ALAMEDA LTDA EPP,"ALAMEDA TROMBUDO ALTO, 250",AGROLANDIA,SC
