gid,co_cep,uf,cidade,no_fantasia,no_bairro,nu_endereco,no_logradouro,nu_telefone,ano_upa_func,mes_upa_func,fonte_recurso,porte,latitude,longitude
6690742,,PE,Cabo de Santo Agostinho,UPA CABO DE SANTO AGOSTINHO,COHAB,S/N,RUA 27,81 31844543,2015,11,MS,3,-8.2967516,-35.0272619
7746180,,SP,Franca,UPA DR NEWTON NOVATO,AEROPORTO I,600,CYRO EDUARDO ROSA FALEIROS,1637216807,2015,11,MS,3,-20.574443,-47.3726967
5053293,,SP,Araras,UPA ELISA S FRANCHOZZA ARARAS,JOSE OMETTO II,400,AVENIDA IRINEU CARROCCI,35435112,2015,11,MS,2,-22.3529687,-47.3343523
5955661,20520-054,RJ,Rio de Janeiro,SES RJ UPA 24H TIJUCA,TIJUCA,S/N,RUA CONDE DE BONFIM,23341921,2015,11,MS,3,-22.9321098,-43.2401566
5955688,21625-130,RJ,Rio de Janeiro,SES RJ UPA 24H RICARDO DE ALBUQUERQUE,RICARDO DE ALBUQUERQ,S/N,ESTR MAL ALENCASTRO,33394819,2015,11,MS,3,-22.8433194,-43.3978908
7665199,,MS,Corumbá,UNIDADE DE PRONTO ATENDIMENTO DR JOSE ABILIO M DE BARROS,GUATOS,S/N,LUIZ FEITOSA RODRIGUES,,2015,11,MS,1,-19.0454597,-57.6454391
7039336,89240-000,SC,São Francisco do Sul,UPA UNIDADE DE PRONTO ATENDIMENTO,UBATUBA,S/N,RODOVIA DUQUE DE CAXIAS,47-34446277,2015,11,MS,1,-26.2139466,-48.5253276
6443419,53401-030,PE,Paulista,UPA PAULISTA,AURORA,10000,ESTRADA DO FRIO,(81) 31844253,2015,11,MS,3,-7.9431439,-34.881574
7399626,,CE,Russas,UNIDADE DE PRONTO ATENDIMENTO DE RUSSAS,PLANALTO,S/N,RUA PROJETADA,,2015,11,MS,1,-4.9271161,-37.9724259
7429568,15900-000,SP,Taquaritinga,UPA 24 HORAS,CENTRO,2100,AV VICENTE JOSE PARISE,,2015,11,MS,1,-21.4023648,-48.4976322
6439993,89226-205,SC,Joinville,UPA 24 HORAS AVENTUREIRO,AVENTUREIRO,0,RUA MAFALDA LAURINDO,4734354221,2015,11,MS,3,-26.2430901,-48.819824
2061724,,SP,Piracicaba,UPA VILA CRISTINA FREI SIGRIST PIRACICABA,VILA CRISTINA,1737,AVENIDA RAPOSO TAVARES,(19) 3434-2296,2015,11,MS,2,-22.7454232,-47.6620131
7636822,42800-100,BA,Camaçari,UPA 24HS GLEBA A GRAVATA,GLEBA A,S/N,AVENIDA DO CANAL,71 30408304,2015,11,MS,2,-12.6924149,-38.3353413
7471777,,SP,Americana,UPA SAO JOSE,JD SAO JOSE,2310,AV DE CILLO,19 34612517,2015,11,MS,1,-22.7632798,-47.3414578
7064578,75690-000,GO,Caldas Novas,UPA UNIDADE DE PRONTO ATENDIMENTO,CENTRO,0001,RUA PROFESSOR JOSINO BRETAS ESQ C R,(64) 3453-0022,2015,11,MS,2,-17.7445191,-48.6250248
6463487,36070-060,MG,Juiz de Fora,UPA SANTA LUZIA,SANTA LUZIA,1130,RUA IBITIGUAIA,(32)2102-0898,2015,11,MS,3,-21.7891172,-43.3531692
6985483,,CE,Fortaleza,UNIDADE PRONTO ATENDIMENTO PRAIA DO FUTURO,PRAIA DO FUTURO,S/N,AV SENADOR CARLOS JEREISSATI,85 32168316,2015,11,MS,3,-3.7209233,-38.4619914
6737633,47600-000,BA,Bom Jesus da Lapa,UPA 24H BOM JESUS DA LAPA,SAO MIGUEL,244,RUA L,77 3481 7907,2015,11,MS,1,-13.2450495,-43.4018995
5874998,13100-000,SP,Campinas,PRONTO ATENDIMENTO DR SERGIO AROUCA CAMPO GRANDE,CAMPO GRANDE,280,R DIRCE DE OLIVEIRA SANTOS,32218505,2015,11,MS,3,-22.9099384,-47.0626332
7709196,,AP,Macapá,UNIDADE DE PRONTO ATENDIMENTO TIPO I UPA,NOVO HORIZONTE,S/N,RUA FERNANDO ALVES DE OLIVEIRA,,2015,11,MS,1,0.0932347,-51.0460623
6950302,,SP,Sorocaba,CENTRAL DE REGULACAO DE URGENCIAS DE SOROCABA,CERRADO,125,RUA BENTO MANOEL RIBEIRO,(15) 32191192,2015,11,MS,2,-23.5015299,-47.4525603
7499914,,RS,Venâncio Aires,UPA 24 HORAS VENANCIO AIRES,CRUZEIRO,2500,VOLUNTARIOS DA PATRIA,5137932100,2015,11,MS,1,-29.611063,-52.2101575
7529368,,GO,Anápolis,UPA III DR ALAIR MAFRA ANAPOLIS GOIAS,VILA ESPERANCA,S/N,RUA 29 DE DEZEMBRO,62 39022165,2015,11,MS,3,-16.3896062,-48.9587167
2822318,83323-390,PR,Pinhais,UNIDADE DE PRONTO ATENDIMENTO 24 HORAS,CENTRO,731,RENATO NUNES RIBAS,(41)30599292,2015,11,MS,2,-25.4340735,-49.1866432
6716911,20211-030,RJ,Rio de Janeiro,SMS COORD DE EMERGENCIA REGIONAL CER CENTRO AP 10,CENTRO,S/N,RUA FREI CANECA,21-25071311,2015,11,MS,3,-22.9108947,-43.1927786
7345259,54340-605,PE,Jaboatão dos Guararapes,UPA EDUARDO CAMPOS,SOTAVE,31,RUA MARACANA,,2015,11,MS,1,-8.1721658,-34.9986835
6885284,,SP,Guarujá,UPA ENSEADA PAULO FLAVIO AFONSO PIASENTI GUARUJA,ENSEADA,S/N,AVENIDA D PEDRO I,33513661,2015,11,MS,2,-23.9816758,-46.2296774
7126484,15700-202,SP,Jales,UNIDADE DE PRONTO ATENDIMENTO DE JALES,JD SAMAMBAIA,2373,RUA SEBASTIAO MARTINS,17-3632-8765,2015,11,MS,1,-20.2686874,-50.5490441
7616902,,PR,Ibiporã,UNIDADE DE PRONTO ATENDIMENTO DR JUSTINO ALVES PEREIRA,JD MORADA DO SOL,1245,AV SOUZA NAVES,43 3178 0348,2015,11,MS,1,-23.2634275,-51.0575802
2160137,35.519-000,MG,Nova Serrana,UPA ANTONIO JOSE DOS SANTOS,SAO MARIOS,440,RUA PADRE JOSE LUIZ,037-3226.6166,2015,11,MS,1,-19.8737889,-44.9891854
6821197,,SP,São Bernardo do Campo,UPA PAULICEIA TABOAO,PAULICEIA,326,RUA PEDRO DE TOLEDO,4178-4309,2015,11,MS,2,-23.67101,-46.582895
7052251,,PB,Campina Grande,UPA 24 HORAS DR MAIA,ALTO BRANCO,S/N,AV MANOEL TAVARES,83 33412079,2015,11,MS,3,-7.2072372,-35.8753835
7066953,88310-690,SC,Itajaí,UNIDADE DE PRONTO ATENDIMENTO UPA 24H,CORDEIROS,S/N,RUA ENEDINA DAVILA FERREIRA,04732495500,2015,11,MS,1,-26.8966705,-48.7062655
6826393,,MA,São José de Ribamar,UPA PARQUE VITORIA,TURU,20,AVENIDA JOSE SANTANA QUADRA 38,,2015,11,MS,2,-2.5198082,-44.2020491
7242492,89900-000,SC,São Miguel do Oeste,UNIDADE DE PRONTO ATENDIMENTO LEONARDO WESSHEIMER,AGOSTINI,1,RUA OIAPOC,(49) 3621-2991,2015,11,MS,1,-26.7225677,-53.5182628
7113218,09020-000,SP,Santo André,UPA CENTRO,CENTRO,129,RUA AGENOR DE CARMARGO,49947651,2015,11,MS,2,-23.6633839,-46.5265752
7410042,,CE,Crateús,UPA DR OLAVO CAVALCANTE CARDOSO,CIDADE NOVA,S/N,RUA JOELSON SILVA BARROS,88-36912019,2015,11,MS,1,-5.1698117,-40.6635337
7460953,,CE,Iguatu,UNIDADE DE PRONTO ATENDIMENTO DE IGUATU UPA,PARANA,S/N,RUA 25 DE MARCO,,2015,11,MS,1,-6.3494333,-39.2997598
7467206,,SP,Registro,UNIDADE DE PRONTO ATENDIMENTO UPA,JARDIM SAO NICOLAU,605,RUA NELSON BRIHI BADUR,13 38213155,2015,11,MS,1,-24.5002295,-47.8448116
2680017,,RO,Porto Velho,UPA ZONA SUL,COHAB FLORESTA,S/N,RUA URTIGA VERMELHA COM JATUARANA,(69)2271083,2015,11,MS,2,-8.7803556,-63.8775571
6999506,,CE,Fortaleza,UNIDADE PRONTO ATENDIMENTO AUTRAN NUNES,AUTRAN NUNES,S/N,AV FERNANDES TAVORA,32168314,2015,11,MS,2,-3.7556992,-38.5953017
7466412,,SP,Valinhos,UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS,LENHEIRO,550,AV GESSY LEVER,,2015,11,MS,2,-22.960317,-46.9889371
6607667,,SP,São Bernardo do Campo,UPA UNIAO ALVARENGA,ALVARENGA,5779,ESTRADA DOS ALVARENGA,11 4129-2744,2015,11,MS,2,-23.7393981,-46.5957438
3827836,,PR,Curitiba,UPA PINHEIRINHO,CAPAO RASO,S/N,RUA LEON NICOLAS,041-32121470,2015,11,MS,2,-25.515286,-49.3031637
7103271,17400-000,SP,Garça,UPA 24 HS UNIDADE DE PRONTO ATENDIMENTO DR MARIO NUNES MIRAN,WILLIANS,120,RUA DR ORLANDO THIAGO DOS SANTOS,14-3406.4564,2015,11,MS,1,-22.2131635,-49.6555394
2063603,,SP,Indaiatuba,UPA JAD MORADA DO SOL INDAIATUBA,JAD MORADA DO SOL,6020,AVENIDA ENG FABIO ROBERTO BARNABE,(19)38354900,2015,11,MS,2,-23.1192874,-47.2337965
6976794,45980-000,SP,Diadema,UPA JARDIM PAINEIRAS,JARDIM PAINEIRAS,635,RUA JAVARI,40915467,2015,11,MS,2,-23.6646127,-46.617578
7058284,,PB,Monteiro,UPA JOAQUINA PIRES BARBOSA HENRIQUE,CENTRO,S/N,LOTEAMENTO RESIDENCE ALTIPLANO,83 88298453,2015,11,MS,1,-7.8887727,-37.1171012
7372523,,CE,Pentecoste,UPA DE PENTECOSTE,SAO FRANCISCO,14,RUA GONCALO SALES PESSOA,85 33522619,2015,11,MS,1,-3.7924795,-39.2698136
7102429,09405-390,SP,Ribeirão Pires,UPA SANTA LUZIA,SANTA LUZIA,2959,ESTRADA DA COLONIA,48228000,2015,11,MS,2,-23.6944273,-46.3965852
6986609,,PR,Maringá,UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,JARDIM IPANEMA,865,AVENIDA NILDO RIBEIRO DA ROCHA,32214812,2015,11,MS,3,-23.4520261,-51.9236897
2190125,32072-180,MG,Contagem,UNIDADE DE PRONTO ATENDIMENTO PETROLANDIA UPA,PETROLANDIA,137,RUA REFINARIA UNIAO,(31)3352-3312/5692,2015,11,MS,1,-19.9304982,-44.1138478
6858317,22031-071,RJ,Rio de Janeiro,SES RJ UPA 24H COPACABANA,COPACABANA,129,RUA SIQUEIRA CAMPOS,23339289,2015,11,MS,3,-22.9663935,-43.1870746
7507631,,MG,Itabirito,ITABIRITO UPA CELSO MATOS SILVA,SANTA EFIGENIA,S/N,RODOVIA DOS INCONFIDENTES KM 55 BR 356,,2015,11,MS,1,-20.2590637,-43.7865983
7638698,04377-036,SP,São Paulo,UPA VILA SANTA CATARINA,JARDIM MIRA,529,RUA CIDADE DE BAGDA,56719211,2015,11,MS,3,-23.6565963,-46.6535806
6914624,,PR,Castro,UNIDADE DE PRONTO ATENDIMENTO MOACIR ELIAS FADEL,RIO BRANCO,S/N,PROLONGAMENTO DA RUA ANTONIO MENARIM,4239062288,2015,11,MS,2,-24.7895729,-50.0112458
7625987,25070-260,RJ,Duque de Caxias,UPA PARQUE BEIRA MAR,VILA SAO LUIS,3200,ROD WASHINGTON LUIS,,2015,11,MS,3,-22.5712929,-43.2810577
4340,41610-640,BA,Salvador,UPA 24H DR HELIO MACHADO,ITAPUA,S/N,RUA DA CACIMBA,(71) 3611-7118,2015,11,MS,3,-12.9475499,-38.3664149
2639548,,PR,Curitiba,UPA CAMPO COMPRIDO,CAMPO COMPRIDO,3495,RUA MONS IVO ZANLORENZI,(41)3373-1332,2015,11,MS,3,-25.4418683,-49.3395726
7744293,,MA,Barra do Corda,UPA 24H MARIA ROSA NEPOMUCENO,TREZIDELA,S/N,BR 226,9936435269,2015,11,MS,2,-5.5018917,-45.2464996
2438917,,PR,Curitiba,UPA BOQUEIRAO,BOQUEIRAO,2590,RUA PROFA MARIA ASSUMPCAO,41- 3217-1201,2015,11,MS,3,-25.4929047,-49.2460813
7459750,,AM,Tabatinga,UNIDADE DE PRONTO ATENDIMENTO 24H TABATINGA UPA TABATINGA,VILAPARAISO,S/N,RUA CORONEL BERG,,2015,11,MS,1,-4.2314555,-69.9369359
7434472,,CE,Quixadá,UNIDADE DE PRONTO ATENDIMENTO 24H DR ANTONIO MAGALHAES,RENASCER,S/N,RUA DOS VOLUNTARIOS,,2015,11,MS,1,-4.9684385,-39.0161259
7445032,,RS,Lajeado,UNIDADE DE PRONTO ATENDIMENTO DE LAJEADO UPA 24H,MOINHOS DAGUA,3480,RUA CARLOS SPOHR FILHO,(51) 3982-1473,2015,11,MS,2,-29.4603123,-52.0031543
7321880,,RJ,Barra Mansa,UNIDADE DE PRONTO ATENDIMENTO EM BARRA MANSA RJ UPA,BOA VISTA I,123,ANTONIO VINTURELLI NETTO,02433409813,2015,11,MS,2,-22.5577208,-44.1200642
7396805,,CE,São Gonçalo do Amarante,UNIDADE DE PRONTO ATENDIMENTO DE SAO GONCALO DO AMARANTE,PECEM,S/N,RUA DO CAJUEIRO,(85)3315-1111,2015,11,MS,2,-3.5533237,-38.8257748
2492555,,TO,Palmas,UNIDADE DE PRONTO ATENDIMENTO SUL,AURENY II,04,RUA PERIMENTRAL 2,(63)32185569,2015,11,MS,2,-10.3223083,-48.3009872
6531288,,RN,Natal,UPA 24H DE PAJUCARA,PAJUCARA,S/N,RUA MOEMIA TINOCO DA CUNHA LIMA,843614 5280,2015,11,MS,2,-5.7220175,-35.2432022
6916074,7172000,SP,Guarulhos,UPA SAO JOAO LAVRAS,CIDADE SOBERANA,4130,ESTRADA GUARULHOS NAZARE,1122292240,2015,11,MS,3,-23.4171716,-46.4555165
6629989,,RJ,Campos dos Goytacazes,SES RJ UPA 24H CAMPOS DOS GOYTACAZES,PARQUE VERA CRUZ,200,SOUZA MOTA,,2015,11,MS,3,-21.7368255,-41.3270561
6992552,17605-400,SP,Tupã,UNIDADE DE PRONTO ATENDIMENTO UPA TUPA,VILA INDEPENDENCIA,55,RUA COMERCIANTE JOSE DA MOTA,14 3441-4292,2015,11,MS,2,-21.9393766,-50.5206399
2189852,32310-210,MG,Contagem,UNIDADE PRONTO ATENDIMENTO GERALDO PINTO VIEIRA UPA JK,ELDORADO,780,AVENIDA JOAO CESAR DE OLIVEIRA,(31)3395-4677,2015,11,MS,3,-19.9434777,-44.0351913
6270131,15051-000,SP,São José do Rio Preto,UPA JAGUARE,JARDIM JAGUARE,2450,AVENIDA DANILO GALEAZZI,17-32151192,2015,11,MS,2,-20.7752687,-49.3686574
7136552,24120-395,RJ,Niterói,SES RJ UPA 24 H FONSECA,FONSECA,107,RUA SA BARRETO,21-26257807,2015,11,MS,3,-22.8840039,-43.0831199
7525427,,MG,Patos de Minas,UPA III,JARDIM PELUZZO,288,RUA PELUZO,34 3822-9641,2015,11,MS,3,-18.61088,-46.5075228
7130538,19.911-205,SP,Ourinhos,UPA UNIDADE DE PRONTO ATENDIMENTO OURINHOS,VILA SAO LUIZ,545,RUA CELESTINO LOPES BAHIA,1433262494,2015,11,MS,2,-22.9589466,-49.8821225
7592191,,BA,Poções,UPA 24H VILOBALDO MACEDO,INDAIA,590,RUA SANTO ANTONIO,7734315812 998043962,2015,11,MS,1,-14.5251885,-40.3647775
6928331,65630000,MA,Timon,UPA TIMON,SANTO ANTONIO,S/N,RUA SAO SEBASTIAO,,2015,11,MS,2,-5.1077636,-42.8253707
7030878,09624-070,SP,São Bernardo do Campo,UPA RUDGE RAMOS,RUDGE RAMOS,256,RUA ANGELA TOME,4368-1222,2015,11,MS,2,-23.6553785,-46.5742749
3936082,15130000,SP,Mirassol,UPA UNIDADE DE PRONTO ATENDIMENTO,JARDIM MARILU,2520,AV ELIEZER MAGALHAES,17-32533285,2015,11,MS,1,-20.8123605,-49.5074183
6975402,78890-000,MT,Sorriso,UPA UNIDADE DE PRONTO ATENDIMENTO SARA AKEMI ICHICAVA,CENTRO,S/N,AV PORTO ALEGRE,35445989,2015,11,MS,1,-12.5409855,-55.7242022
7094647,48904-060,BA,Juazeiro,UPA DR JOAO OLIVEIRA,CASTELO BRANCO,S/N,RODOVIA LOMANTO JUNIOR,7436134288,2015,11,MS,2,-9.4384967,-40.4971627
2033623,13574-140,SP,São Carlos,UNIDADE DE PRONTO ATENDIMENTO UPA,VILA PRADO,229,AVENIDA GRECIA,16-33712100,2015,11,MS,1,-22.0352375,-47.8985413
7101856,22745-290,RJ,Rio de Janeiro,SMS UPA 24H MAGALHAES BASTOS AP 51,MAGALHAES BASTOS,S/N,ESTRADA MANOEL NOGUEIRA DE SA,35507080,2015,11,MS,3,-22.8885352,-43.4139727
2087693,,SP,Hortolândia,UPA JD AMANDA PASTOR ENEAS DE CASTRO GAMA,JD AMANDA,1066,RUA WASHINGTOM LUIS,(19)38974485,2015,11,MS,1,-22.8533412,-47.2147082
7065485,26.584-001,RJ,Mesquita,SES RJ UPA 24H MESQUITA,EDSON PASSOS,S/N,RUA COSTA E SILVA,21-26257807,2015,11,MS,3,-22.7947404,-43.4234849
7061838,35.670-000,MG,Mateus Leme,MATEUS LEME UPA 24 HORAS TIAGO CARDOSO SANTOS,VALE VERDE,15,RUA LEVINDO DA SILVA,,2015,11,MS,1,-19.9985101,-44.4087348
6042619,21063-400,RJ,Barra Mansa,UNIDADE DE PRONTO ATENDIMENTO EM BARRA MANSA RJ UPA,CENTRO,263,RUA LUIZ PONCE,02433229298,2015,11,MS,3,-22.5408252,-44.1768576
6091997,26291-200,RJ,Nova Iguaçu,SES RJ UPA 24H CABUCU,CABUCU,1600,AVENIDA ABELIO AUGUSTO TAVORA,27794497,2015,11,MS,3,-22.7977549,-43.577237
7521316,,BA,Salvador,UPA 24H SAN MARTIN,SAN MARTIN,S/N,RUA DO FORNO,(71) 3395-2884,2015,11,MS,3,-12.9730401,-38.502304
7115652,13820-000,SP,Jaguariúna,,,,,,2015,11,MS,1,-22.7042272,-46.9855088
7018800,,CE,Fortaleza,UNIDADE PRONTO ATENDIMENTO CANINDEZINHO,PLANALTO VITORIO,S/N,RUA 15,85 32168316,2015,11,MS,3,-3.82049,-38.608672
7021909,,RS,Vacaria,UPA 24 HORAS VACARIA,GLORIA,1100,RUA CAMPOS SALES,,2015,11,MS,1,-28.4997843,-50.9410068
7110162,21540-520,RJ,Rio de Janeiro,SMS UPA 24H ROCHA MIRANDA AP 33,ROCHA MIRANDA,S/N,ESTRADA DO BARRO VERMELHO,35141487,2015,11,MS,3,-22.8502396,-43.3448295
5617286,,MG,Uberlândia,UAI SAO JORGE,PARQUES LARANJEIRAS,165,RUA TOLEDO,,2015,11,MS,2,-18.9639645,-48.2443291
7090064,13257-570,SP,Itatiba,UPA UNIDADE DE PRONTO ATENDIMENTO 24HS DE ITATIBA,PQ EMPRESARIAL,S/N,RUA BENEDITA CARRA CORRADINE,,2015,11,MS,1,-23.0039859,-46.8467996
6680704,21532-200,RJ,Rio de Janeiro,SMS UPA 24H COSTA BARROS AP 33,COSTA BARROS,S/N,EST BOTAFOGO,25086990,2015,11,MS,3,-22.8219824,-43.3698852
6742017,,RN,Macaíba,UNIDADE DE PRONTO ATENDIMENTO MACAIBA UPA,ESTRADA DE JUNDIAI,100,AVENIDA JUNDIAI,(84)3271-4204,2015,11,MS,1,-5.870043,-35.3531393
7169310,09790-400,SP,São Bernardo do Campo,UPA SILVINA,FERRAZOPOLIS,509,AVENIDA DR JOSE FORNARI,11 43388536,2015,11,MS,2,-23.7275153,-46.5487049
6272320,27210-240,RJ,Volta Redonda,UPA 24 HS VOLTA REDONDA,STO AGOSTINHO,660,RUA MIL E DEZESSETE,2433384576,2015,11,MS,3,-22.4895991,-44.0677086
7076886,35.460-000,MG,Brumadinho,UPA VALDEMAR DE ASSIS BARCELOS,KM30,30,MG 040,,2015,11,MS,1,-20.1422837,-44.2065118
7697422,14716038,SP,Bebedouro,UPA DE BEBEDOURO,JARDIM JULIA,00,RUA LUIZ BRUNELLI,(17) 3344-8100,2015,11,MS,2,-20.949552,-48.4795365
6507557,725000-000,PE,São Lourenço da Mata,UPA SAO LOURENCO DA MATA,PIXETE,2009,AVENIDA SR FRANCISCO CORREIA,8131844378,2015,11,MS,3,-7.9800434,-35.055335
7084129,46900-000,BA,Seabra,UPA 24H DE SEABRA JORGE ALVES DE OLIVEIRA,TAMBORIL,S/N,RUA EDVALDO SANTOS,7533313919,2015,11,MS,1,-12.4175067,-41.7692236
7103840,44900-000,BA,Irecê,UPA 24 HORAS ROSA MARIA OLIVEIRA BASTOS,ASA SUL,9995,RUA RIO SOLIMOES,,2015,11,MS,1,-11.303555,-41.8561503
5955211,21040-361,RJ,Rio de Janeiro,SES UPA 24H MARE AP 31,MANGUINHOS,4880,AV BRASIL,2334-7830 2334-7832,2015,11,MS,3,-22.8751752,-43.2429859
7006810,,CE,Fortaleza,UNIDADE PRONTO ATENDIMENTO MESSEJANA,MESSEJANA,S/N,RUA MIGUEL GURGEL,85 32168314,2015,11,MS,2,-3.8402533,-38.4824514
6211496,44470-000,BA,Vera Cruz,UNIDADE DE PRONTO ATENDIMENTO DE VERA CRUZ,MAR GRANDE,S/N,AVENIDA JUVENAL JOAO VINAGRE,,2015,11,MS,2,-12.995115,-38.6997156
7326823,87035-260,PR,Cambé,UNIDADE DE PRONTO ATENDIMENTO SILVIA MANTOVANI,JD TUPI,479,RUA CARAJAS,3174-0552,2015,11,MS,2,-23.2742429,-51.2683923
6847587,,MA,São Luís,UPA ARACAGY,ARACAGY,S/N,AV DOS HOLANDESES,,2015,11,MS,3,-2.4790511,-44.2116131
5967198,25025-095,RJ,Duque de Caxias,SES RJ UPA 24H DUQUE DE CAXIAS,PQ LAFAIETE,1532,RUA JOAQUIM PECANHA,27827211,2015,11,MS,3,-22.7861566,-43.3252497
7278888,670000-000,PA,Ananindeua,UNIDADE DE PRONTO ATENDIMENTO UPA II,ICUI GUAJARA,S/N,ESTRADA DO ICUI GUAJARA,,2015,11,MS,2,-1.3409964,-48.4154474
6972497,,PR,Apucarana,UPA UNIDADE DE PRONTO ATENDIMENTO DE APUCARANA PR,CENTRO,1755,RUA CLOTARIO PORTUGAL,4339011058,2015,11,MS,2,-23.5478975,-51.4548606
6037526,22730-522,RJ,Rio de Janeiro,SES RJ UPA 24H JACAREPAGUA,TAQUARA,20,RUA ANDRE ROCHA,23336536,2015,11,MS,3,-22.9339999,-43.3776487
6629385,23810-302,RJ,Itaguaí,UNIDADE DE PRONTO ATENDIMENTO UPA ITAGUAI,JARDIM AMERICA,00,AVENIDA DEPUTADO OTAVIO CABRAL,26879794,2015,11,MS,3,-22.8631923,-43.7779091
7031882,33.200-000,MG,Vespasiano,VESPASIANO UPA 24 HORAS PREFEITO LUIZ ISSA,CENTRO,S/N,AV PREFEITO SEBASTIAO FERNANDES,,2015,11,MS,3,-19.6926423,-43.9200587
2115786,32400-000,MG,Ibirité,UNIDADE MUNICIPAL DE PRONTO ATENDIMENTO DE IBIRITE,MACAUBAS,S/N,RUA NELSON PINHEIRO,(31)35336110,2015,11,MS,2,-20.0256695,-44.0572964
7455038,35044-150,MG,Governador Valadares,UPA 24 HORAS,VILA ISA,1681,RUA RANULFO ALVARES,33 21016151,2015,11,MS,3,-18.8952909,-41.9488928
7637802,,PB,Princesa Isabel,UPA UNIDADE DE PRONTO ATENDIMENTO PRICESA ISABEL,MAIA,S/N,RUA ALFREDO CARLOS DA COSTA,83-33457227,2015,11,MS,1,-7.7362129,-37.9916987
7299729,,TO,Porto Nacional,UPA UNIDADE DE PRONTO ATENDIMENTO DE PORTO NACIONAL,NOVA CAPITAL,S/N,RUA MARIA ANGELICA DA SILVA PRADO,,2015,11,MS,1,-10.6860748,-48.4013866
